drugname,raw_smiles,canonical_smiles,toxicity_score,n_reports
CLOZAPINE,CN1CCN(CC1)C2=NC3=C(C=CC(=C3)Cl)NC4=CC=CC=C42,CN1CCN(C2=Nc3cc(Cl)ccc3Nc3ccccc32)CC1,0.50231124807396,5192
ROSUVASTATIN,CC(C)C1=NC(=NC(=C1C=CC(CC(CC(=O)O)O)O)C2=CC=C(C=C2)F)N(C)S(=O)(=O)C,CC(C)c1nc(N(C)S(C)(=O)=O)nc(-c2ccc(F)cc2)c1C=CC(O)CC(O)CC(=O)O,0.4963320463320463,5180
CERTOLIZUMAB PEGOL,,,0.414180550174351,5162
QUETIAPINE,C1CN(CCN1CCOCCO)C2=NC3=CC=CC=C3SC4=CC=CC=C42,OCCOCCN1CCN(C2=Nc3ccccc3Sc3ccccc32)CC1,0.5773216420884815,5018
LISINOPRIL,C1CC(N(C1)C(=O)C(CCCCN)NC(CCC2=CC=CC=C2)C(=O)O)C(=O)O,NCCCCC(NC(CCc1ccccc1)C(=O)O)C(=O)N1CCCC1C(=O)O,0.5481230031948882,5008
CETIRIZINE,C1CN(CCN1CCOCC(=O)O)C(C2=CC=CC=C2)C3=CC=C(C=C3)Cl,O=C(O)COCCN1CCN(C(c2ccccc2)c2ccc(Cl)cc2)CC1,0.6206896551724138,4901
DICLOFENAC,C1=CC=C(C(=C1)CC(=O)O)NC2=C(C=CC=C2Cl)Cl,O=C(O)Cc1ccccc1Nc1c(Cl)cccc1Cl,0.6140422911106549,4871
AMITRIPTYLINE,CN(C)CCC=C1C2=CC=CC=C2CCC3=CC=CC=C31,CN(C)CCC=C1c2ccccc2CCc2ccccc21,0.5745776679027607,4854
CETIRIZINE HYDROCHLORIDE\PSEUDOEPHEDRINE HYDROCHLORIDE,,,0.7116058544629973,4851
TYLENOL,CC(=O)NC1=CC=C(C=C1)O,CC(=O)Nc1ccc(O)cc1,0.4629208841148523,4841
OXYCODONE HYDROCHLORIDE,CN1CCC23C4C(=O)CCC2(C1CC5=C3C(=C(C=C5)OC)O4)O.Cl,COc1ccc2c3c1OC1C(=O)CCC4(O)C(C2)N(C)CCC314.Cl,0.4806929659778752,4791
PSEUDOEPHEDRINE HYDROCHLORIDE,CC(C(C1=CC=CC=C1)O)NC.Cl,CNC(C)C(O)c1ccccc1.Cl,0.7030695343495511,4789
OLANZAPINE,CC1=CC2=C(S1)NC3=CC=CC=C3N=C2N4CCN(CC4)C,Cc1cc2c(s1)Nc1ccccc1N=C2N1CCN(C)CC1,0.5444186537244144,4739
BISOPROLOL,CC(C)NCC(COC1=CC=C(C=C1)COCCOC(C)C)O,CC(C)NCC(O)COc1ccc(COCCOC(C)C)cc1,0.5348837209302325,4730
SKYRIZI,,,0.3519932145886344,4716
POTASSIUM CHLORIDE,[Cl-].[K+],[Cl-].[K+],0.6203605514316013,4715
CALCIUM CARBONATE,C(=O)([O-])[O-].[Ca+2],O=C([O-])[O-].[Ca+2],0.5979095563139932,4688
HYDROCORTISONE ACETATE,CC(=O)OCC(=O)C1(CCC2C1(CC(C3C2CCC4=CC(=O)CCC34C)O)C)O,CC(=O)OCC(=O)C1(O)CCC2C3CCC4=CC(=O)CCC4(C)C3C(O)CC21C,0.7181092164903949,4633
CALCIUM,[Ca],[Ca],0.4503139207620697,4619
OXYMORPHONE HYDROCHLORIDE,CN1CCC23C4C(=O)CCC2(C1CC5=C3C(=C(C=C5)O)O4)O.Cl,CN1CCC23c4c5ccc(O)c4OC2C(=O)CCC3(O)C1C5.Cl,0.06376496191512514,4595
VITAMIN C,C(C(C1C(=C(C(=O)O1)O)O)O)O,O=C1OC(C(O)CO)C(O)=C1O,0.5252679938744257,4571
LEVOTHYROXINE SODIUM,C1=C(C=C(C(=C1I)OC2=CC(=C(C(=C2)I)O)I)I)CC(C(=O)[O-])N.[Na+],NC(Cc1cc(I)c(Oc2cc(I)c(O)c(I)c2)c(I)c1)C(=O)[O-].[Na+],0.5792937047598158,4559
RINVOQ,"CCC1CN(CC1C2=CN=C3N2C4=C(NC=C4)N=C3)C(=O)NCC(F)(F)F
CCC1CN(CC1C2=CN=C3N2C4=C(NC=C4)N=C3)C(=O)NCC(F)(F)F.CCC1CN(CC1C2=CN=C3N2C4=C(NC=C4)N=C3)C(=O)NCC(F)(F)F.O",CCC1CN(C(=O)NCC(F)(F)F)CC1c1cnc2cnc3[nH]ccc3n12,0.3858792184724689,4504
PLAQUENIL,CCN(CCCC(C)NC1=C2C=CC(=CC2=NC=C1)Cl)CCO,CCN(CCO)CCCC(C)Nc1ccnc2cc(Cl)ccc12,0.6605239786856127,4504
REVLIMID,C1CC(=O)NC(=O)C1N2CC3=C(C2=O)C=CC=C3N,Nc1cccc2c1CN(C1CCC(=O)NC1=O)C2=O,0.3609441104431084,4491
ACETAMINOPHEN AND CODEINE,CC(=O)NC1=CC=C(C=C1)O.CN1CCC23C4C1CC5=C2C(=C(C=C5)OC)OC3C(C=C4)O.OP(=O)(O)O,CC(=O)Nc1ccc(O)cc1.COc1ccc2c3c1OC1C(O)C=CC4C(C2)N(C)CCC341.O=P(O)(O)O,0.297886690647482,4448
FLUOROURACIL,C1=C(C(=O)NC(=O)N1)F,O=c1[nH]cc(F)c(=O)[nH]1,0.5660589691649787,4443
METOPROLOL,CC(C)NCC(COC1=CC=C(C=C1)CCOC)O,COCCc1ccc(OCC(O)CNC(C)C)cc1,0.507489786654562,4406
NAPROXEN,CC(C1=CC2=C(C=C1)C=C(C=C2)OC)C(=O)O,COc1ccc2cc(C(C)C(=O)O)ccc2c1,0.4881440948472412,4386
AMLODIPINE BESYLATE,CCOC(=O)C1=C(NC(=C(C1C2=CC=CC=C2Cl)C(=O)OC)C)COCCN.C1=CC=C(C=C1)S(=O)(=O)O,CCOC(=O)C1=C(COCCN)NC(C)=C(C(=O)OC)C1c1ccccc1Cl.O=S(=O)(O)c1ccccc1,0.5460766423357665,4384
NITROGLYCERIN,C(C(CO[N+](=O)[O-])O[N+](=O)[O-])O[N+](=O)[O-],O=[N+]([O-])OCC(CO[N+](=O)[O-])O[N+](=O)[O-],0.5897315120113048,4246
LEVOFLOXACIN,CC1COC2=C3N1C=C(C(=O)C3=CC(=C2N4CCN(CC4)C)F)C(=O)O,CC1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23,0.5939350864723999,4221
OMALIZUMAB,,,0.4430229803364132,4221
PEMBROLIZUMAB,,,0.5449505905037358,4149
OXALIPLATIN,C1CCC(C(C1)[NH-])[NH-].C(=O)(C(=O)O)O.[Pt+2],O=C(O)C(=O)O.[NH-]C1CCCCC1[NH-].[Pt+2],0.5201253314051578,4149
IBRANCE,CC1=C(C(=O)N(C2=NC(=NC=C12)NC3=NC=C(C=C3)N4CCNCC4)C5CCCC5)C(=O)C,CC(=O)c1c(C)c2cnc(Nc3ccc(N4CCNCC4)cn3)nc2n(C2CCCC2)c1=O,0.2971357409713574,4015
TRAMADOL,CN(C)CC1CCCCC1(C2=CC(=CC=C2)OC)O,COc1cccc(C2(O)CCCCC2CN(C)C)c1,0.46817610062893084,3975
DUPIXENT,,,0.4404432132963989,3971
VENETOCLAX,CC1(CCC(=C(C1)C2=CC=C(C=C2)Cl)CN3CCN(CC3)C4=CC(=C(C=C4)C(=O)NS(=O)(=O)C5=CC(=C(C=C5)NCC6CCOCC6)[N+](=O)[O-])OC7=CN=C8C(=C7)C=CN8)C,CC1(C)CCC(CN2CCN(c3ccc(C(=O)NS(=O)(=O)c4ccc(NCC5CCOCC5)c([N+](=O)[O-])c4)c(Oc4cnc5[nH]ccc5c4)c3)CC2)=C(c2ccc(Cl)cc2)C1,0.5430379746835443,3950
AZATHIOPRINE,CN1C=NC(=C1SC2=NC=NC3=C2NC=N3)[N+](=O)[O-],Cn1cnc([N+](=O)[O-])c1Sc1ncnc2nc[nH]c12,0.48062800709040265,3949
ENTRESTO,CCCCC(=O)N(CC1=CC=C(C=C1)C2=CC=CC=C2C3=NN=N[N-]3)C(C(C)C)C(=O)[O-].CCCCC(=O)N(CC1=CC=C(C=C1)C2=CC=CC=C2C3=NN=N[N-]3)C(C(C)C)C(=O)[O-].CCOC(=O)C(C)CC(CC1=CC=C(C=C1)C2=CC=CC=C2)NC(=O)CCC(=O)[O-].CCOC(=O)C(C)CC(CC1=CC=C(C=C1)C2=CC=CC=C2)NC(=O)CCC(=O)[O-].O.O.O.O.O.[Na+].[Na+].[Na+].[Na+].[Na+].[Na+],CCCCC(=O)N(Cc1ccc(-c2ccccc2-c2nnn[n-]2)cc1)C(C(=O)[O-])C(C)C.CCCCC(=O)N(Cc1ccc(-c2ccccc2-c2nnn[n-]2)cc1)C(C(=O)[O-])C(C)C.CCOC(=O)C(C)CC(Cc1ccc(-c2ccccc2)cc1)NC(=O)CCC(=O)[O-].CCOC(=O)C(C)CC(Cc1ccc(-c2ccccc2)cc1)NC(=O)CCC(=O)[O-].O.O.O.O.O.[Na+].[Na+].[Na+].[Na+].[Na+].[Na+],0.45931558935361216,3945
SPIRONOLACTONE,CC(=O)SC1CC2=CC(=O)CCC2(C3C1C4CCC5(C4(CC3)C)CCC(=O)O5)C,CC(=O)SC1CC2=CC(=O)CCC2(C)C2CCC3(C)C(CCC34CCC(=O)O4)C12,0.5467479674796748,3936
OPDIVO,,,0.4690445859872611,3925
